100000.0,36.0,0.08,20000.0,2507
200000.0,12.0,0.1,0.0,17584
628400.0,120.0,0.12,100000.0,7582
4637400.0,240.0,0.06,0.0,33224
42900.0,90.0,0.07,8900.0,487
50000.0,16.0,0.13,0.0,3421
230000.0,48.0,0.08,4300.0,5510
500000.0,99.0,0.08,0.0,6916
2500000.0,27.0,0.09,47200.0,100692
5470000.0,120.0,0.11,100000.0,73972
983000.0,240.0,0.06,0.0,7043
5600000.0,90.0,0.08,8900.0,82814
459000.0,16.0,0.14,0.0,31615
670000.0,48.0,0.07,4300.0,15942
4000000.0,48.0,0.07,4300.0,95683
700000.0,16.0,0.14,0.0,48215
200000.0,12.0,0.1,0.0,17584
3637400.0,120.0,0.12,100000.0,50752
728400.0,240.0,0.06,0.0,5219
